message_id,grower_id,campaign_product,campaign_crop,tehsil,message_sent_date,delivered,opened,clicked,attributed_sales_count,attributed_qty_sold,attributed_revenue,converted
WAM_RABI25_04002,GRW_05359,Tilt 250 EC,wheat,Ratlam_T016,2025-10-29,True,True,False,0,0,0.0,False
WAM_RABI25_03030,GRW_04054,Tilt 250 EC,wheat,Bikaner_T071,2025-11-22,True,True,True,0,0,0.0,False
WAM_RABI25_02733,GRW_03647,Score 250 EC,mustard,Bharatpur_T085,2025-10-22,True,False,False,0,0,0.0,False
WAM_RABI25_00585,GRW_00775,Score 250 EC,mustard,Agra_T075,2025-10-24,True,False,False,0,0,0.0,False
WAM_RABI25_03362,GRW_04494,Tilt 250 EC,wheat,Amravati_T010,2025-11-21,True,False,False,0,0,0.0,False
WAM_RABI25_00811,GRW_01104,Amistar 250 SC,chickpea,Patiala_T139,2025-10-08,True,False,False,0,0,0.0,False
WAM_RABI25_01624,GRW_02172,Tilt 250 EC,wheat,Ahmedabad_T128,2026-03-12,True,False,False,0,0,0.0,False
WAM_RABI25_00288,GRW_00379,Amistar 250 SC,lentil,Sehore_T039,2025-11-19,True,True,True,0,0,0.0,False
WAM_RABI25_01052,GRW_01416,Tilt 250 EC,wheat,Varanasi_T065,2025-12-01,True,False,False,0,0,0.0,False
WAM_RABI25_04258,GRW_05713,Tilt 250 EC,wheat,Nadia_T108,2025-11-18,True,True,False,0,0,0.0,False
WAM_RABI25_02187,GRW_02935,Amistar 250 SC,chickpea,Ratlam_T131,2025-11-29,True,True,False,0,0,0.0,False
WAM_RABI25_04451,GRW_05966,Amistar 250 SC,lentil,Bardhaman_T139,2025-11-16,True,False,False,0,0,0.0,False
WAM_RABI25_02302,GRW_03079,Amistar 250 SC,chickpea,Lucknow_T035,2025-10-28,True,False,False,1,8,7026.08,True
WAM_RABI25_00239,GRW_00314,Score 250 EC,mustard,Bharatpur_T144,2025-10-06,True,False,False,0,0,0.0,False
WAM_RABI25_02579,GRW_03455,Tilt 250 EC,wheat,Varanasi_T002,2026-02-10,True,False,False,0,0,0.0,False
WAM_RABI25_03163,GRW_04233,Amistar 250 SC,barley,Bikaner_T074,2025-12-10,True,True,False,1,2,2715.54,True
WAM_RABI25_03381,GRW_04518,Tilt 250 EC,wheat,Jalgaon_T046,2025-11-25,True,True,False,5,18,27843.82,True
WAM_RABI25_03308,GRW_04426,Tilt 250 EC,wheat,Kanpur_Nagar_T113,2025-11-22,True,False,False,0,0,0.0,False
WAM_RABI25_01553,GRW_02081,Tilt 250 EC,wheat,Mehsana_T010,2025-10-31,True,True,False,0,0,0.0,False
WAM_RABI25_02677,GRW_03580,Amistar 250 SC,chickpea,Bathinda_T145,2026-01-14,True,False,False,1,7,8389.99,True
WAM_RABI25_01322,GRW_01775,Score 250 EC,mustard,Ludhiana_T026,2025-11-19,True,False,False,0,0,0.0,False
WAM_RABI25_01116,GRW_01498,Amistar 250 SC,lentil,Ujjain_T093,2025-10-07,True,False,False,4,7,10967.3,True
WAM_RABI25_00417,GRW_00558,Kavach 75 WP,potato,Bardhaman_T032,2026-03-23,True,False,False,0,0,0.0,False
WAM_RABI25_00858,GRW_01164,Tilt 250 EC,wheat,Patiala_T108,2025-10-24,False,False,False,3,15,32190.559999999998,True
WAM_RABI25_01045,GRW_01408,Score 250 EC,mustard,Karnal_T137,2025-11-26,True,False,False,0,0,0.0,False
WAM_RABI25_04302,GRW_05773,Score 250 EC,mustard,Bardhaman_T044,2025-11-23,True,True,False,0,0,0.0,False
WAM_RABI25_00890,GRW_01204,Amistar 250 SC,barley,Sirsa_T077,2025-11-15,True,False,False,2,7,11620.05,True
WAM_RABI25_04094,GRW_05486,Tilt 250 EC,wheat,Jaipur_T128,2026-02-09,True,False,False,0,0,0.0,False
WAM_RABI25_02756,GRW_03681,Score 250 EC,mustard,Mehsana_T133,2025-10-27,True,False,False,0,0,0.0,False
WAM_RABI25_01228,GRW_01649,Kavach 75 WP,potato,Bardhaman_T032,2026-01-07,True,False,False,0,0,0.0,False
WAM_RABI25_02251,GRW_03018,Score 250 EC,mustard,Bikaner_T096,2025-12-27,True,False,False,0,0,0.0,False
WAM_RABI25_02329,GRW_03114,Tilt 250 EC,wheat,Sirsa_T028,2025-10-14,True,True,False,0,0,0.0,False
WAM_RABI25_03830,GRW_05133,Tilt 250 EC,wheat,Agra_T124,2025-12-06,True,False,False,1,4,7078.0,True
WAM_RABI25_03979,GRW_05327,Score 250 EC,mustard,Sikar_T129,2025-12-27,True,False,False,0,0,0.0,False
WAM_RABI25_01175,GRW_01582,Tilt 250 EC,wheat,Varanasi_T035,2025-10-23,True,True,False,0,0,0.0,False
WAM_RABI25_04437,GRW_05945,Tilt 250 EC,wheat,Ratlam_T017,2025-10-14,True,False,False,4,16,22923.719999999998,True
WAM_RABI25_03601,GRW_04816,Tilt 250 EC,wheat,Ratlam_T016,2025-11-27,True,False,False,0,0,0.0,False
WAM_RABI25_01109,GRW_01489,Tilt 250 EC,wheat,Vijayapura_T027,2025-10-22,True,False,False,0,0,0.0,False
WAM_RABI25_01375,GRW_01843,Amistar 250 SC,lentil,Indore_T087,2025-12-08,True,False,False,1,2,4390.64,True
WAM_RABI25_00808,GRW_01101,Amistar 250 SC,barley,Bharatpur_T039,2026-02-27,True,True,False,0,0,0.0,False
WAM_RABI25_03159,GRW_04228,Amistar 250 SC,chickpea,Patiala_T079,2026-02-25,True,True,False,0,0,0.0,False
WAM_RABI25_02300,GRW_03076,Tilt 250 EC,wheat,Kanpur_Nagar_T068,2026-01-10,True,False,False,0,0,0.0,False
WAM_RABI25_00415,GRW_00555,Kavach 75 WP,potato,Ludhiana_T065,2026-02-20,True,False,False,0,0,0.0,False
WAM_RABI25_02212,GRW_02965,Score 250 EC,mustard,Agra_T034,2025-12-15,True,False,False,0,0,0.0,False
WAM_RABI25_00158,GRW_00207,Score 250 EC,safflower,Kalaburagi_T062,2025-11-16,True,True,False,0,0,0.0,False
WAM_RABI25_00430,GRW_00574,Tilt 250 EC,wheat,Amravati_T073,2025-10-24,True,False,False,0,0,0.0,False
WAM_RABI25_01273,GRW_01708,Amistar 250 SC,chickpea,Kalaburagi_T112,2026-01-10,True,False,False,4,22,21603.87,True
WAM_RABI25_03412,GRW_04561,Amistar 250 SC,barley,Bharatpur_T111,2025-11-08,False,False,False,0,0,0.0,False
WAM_RABI25_02663,GRW_03565,Score 250 EC,mustard,Bharatpur_T103,2025-11-04,True,True,True,0,0,0.0,False
WAM_RABI25_02721,GRW_03633,Tilt 250 EC,wheat,Agra_T013,2026-02-07,True,False,False,0,0,0.0,False
WAM_RABI25_04024,GRW_05387,Tilt 250 EC,wheat,Kanpur_Nagar_T116,2025-10-15,True,False,False,0,0,0.0,False
WAM_RABI25_00643,GRW_00852,Tilt 250 EC,wheat,Agra_T049,2025-11-11,True,False,False,0,0,0.0,False
WAM_RABI25_01516,GRW_02038,Score 250 EC,mustard,Bharatpur_T065,2026-03-25,True,False,False,0,0,0.0,False
WAM_RABI25_00024,GRW_00034,Tilt 250 EC,wheat,Rohtak_T082,2025-10-16,True,True,False,0,0,0.0,False
WAM_RABI25_00506,GRW_00671,Score 250 EC,safflower,Jalgaon_T104,2026-01-05,True,False,False,0,0,0.0,False
WAM_RABI25_04402,GRW_05906,Tilt 250 EC,wheat,Mehsana_T088,2025-10-25,True,True,False,0,0,0.0,False
WAM_RABI25_00995,GRW_01343,Score 250 EC,mustard,Bharatpur_T145,2026-01-17,True,True,False,0,0,0.0,False
WAM_RABI25_00444,GRW_00590,Tilt 250 EC,wheat,Indore_T147,2026-02-03,True,False,False,0,0,0.0,False
WAM_RABI25_00152,GRW_00197,Tilt 250 EC,wheat,Muzaffarpur_T084,2025-10-18,True,False,False,0,0,0.0,False
WAM_RABI25_02299,GRW_03074,Score 250 EC,mustard,Ahmedabad_T097,2025-10-11,True,True,False,0,0,0.0,False
WAM_RABI25_03565,GRW_04771,Kavach 75 WP,potato,Nadia_T034,2025-11-17,True,True,False,0,0,0.0,False
WAM_RABI25_03919,GRW_05253,Score 250 EC,mustard,Bathinda_T112,2025-12-23,True,False,False,2,9,5868.28,True
WAM_RABI25_03454,GRW_04618,Tilt 250 EC,wheat,Ludhiana_T073,2025-10-31,True,False,False,4,9,6639.75,True
WAM_RABI25_02906,GRW_03890,Tilt 250 EC,wheat,Akola_T043,2025-10-12,True,False,False,0,0,0.0,False
WAM_RABI25_02537,GRW_03403,Amistar 250 SC,chickpea,Vijayapura_T058,2025-10-23,True,False,False,4,122,178225.39,True
WAM_RABI25_03185,GRW_04263,Amistar 250 SC,barley,Sirsa_T107,2025-10-22,True,False,False,0,0,0.0,False
WAM_RABI25_01468,GRW_01964,Tilt 250 EC,wheat,Nadia_T052,2025-11-21,True,False,False,2,11,9201.789999999999,True
WAM_RABI25_01612,GRW_02156,Tilt 250 EC,wheat,Bikaner_T139,2025-11-17,True,True,False,2,115,49999.65,True
WAM_RABI25_01747,GRW_02335,Tilt 250 EC,wheat,Sirsa_T021,2026-03-09,True,False,False,0,0,0.0,False
WAM_RABI25_01035,GRW_01397,Tilt 250 EC,wheat,Akola_T040,2026-01-05,True,False,False,0,0,0.0,False
WAM_RABI25_03572,GRW_04779,Score 250 EC,mustard,Hisar_T012,2026-01-13,True,False,False,0,0,0.0,False
WAM_RABI25_03341,GRW_04468,Tilt 250 EC,wheat,Bharatpur_T092,2025-10-14,True,True,False,0,0,0.0,False
WAM_RABI25_03059,GRW_04096,Tilt 250 EC,wheat,Lucknow_T111,2025-10-26,True,False,False,1,21,35177.73,True
