grower_id,segment_id
GRW_00001,SEG_0050
GRW_00002,SEG_0049
GRW_00003,SEG_0026
GRW_00004,SEG_0051
GRW_00005,SEG_0029
GRW_00006,SEG_0010
GRW_00007,SEG_0012
GRW_00008,SEG_0003
GRW_00009,SEG_0048
GRW_00010,SEG_0009
GRW_00011,SEG_0009
GRW_00012,SEG_0012
GRW_00013,SEG_0002
GRW_00014,SEG_0012
GRW_00015,SEG_0010
GRW_00016,SEG_0002
GRW_00017,SEG_0030
GRW_00018,SEG_0028
GRW_00019,SEG_0009
GRW_00020,SEG_0027
GRW_00021,SEG_0047
GRW_00022,SEG_0012
GRW_00023,SEG_0018
GRW_00024,SEG_0005
GRW_00025,SEG_0014
GRW_00026,SEG_0022
GRW_00027,SEG_0050
GRW_00028,SEG_0010
GRW_00029,SEG_0009
GRW_00030,SEG_0012
GRW_00031,SEG_0022
GRW_00032,SEG_0012
GRW_00033,SEG_0009
GRW_00034,SEG_0009
GRW_00035,SEG_0031
GRW_00036,SEG_0028
GRW_00037,SEG_0025
GRW_00038,SEG_0006
GRW_00039,SEG_0010
GRW_00040,SEG_0009
GRW_00041,SEG_0051
GRW_00042,SEG_0003
GRW_00043,SEG_0030
GRW_00044,SEG_0012
GRW_00045,SEG_0006
GRW_00046,SEG_0003
GRW_00047,SEG_0020
GRW_00048,SEG_0046
GRW_00049,SEG_0024
GRW_00050,SEG_0009
GRW_00051,SEG_0009
GRW_00052,SEG_0020
GRW_00053,SEG_0001
GRW_00054,SEG_0022
GRW_00055,SEG_0024
GRW_00056,SEG_0024
GRW_00057,SEG_0037
GRW_00058,SEG_0018
GRW_00059,SEG_0037
GRW_00060,SEG_0012
GRW_00061,SEG_0034
GRW_00062,SEG_0022
GRW_00063,SEG_0034
GRW_00064,SEG_0009
GRW_00065,SEG_0047
GRW_00066,SEG_0009
GRW_00067,SEG_0018
GRW_00068,SEG_0003
GRW_00069,SEG_0029
GRW_00070,SEG_0012
GRW_00071,SEG_0012
GRW_00072,SEG_0031
GRW_00073,SEG_0051
GRW_00074,SEG_0012
GRW_00075,SEG_0046
GRW_00076,SEG_0009
GRW_00077,SEG_0025
GRW_00078,SEG_0043
GRW_00079,SEG_0040
GRW_00080,SEG_0029
GRW_00081,SEG_0012
GRW_00082,SEG_0022
GRW_00083,SEG_0022
GRW_00084,SEG_0008
GRW_00085,SEG_0012
GRW_00086,SEG_0000
GRW_00087,SEG_0035
GRW_00088,SEG_0037
GRW_00089,SEG_0009
GRW_00090,SEG_0014
GRW_00091,SEG_0038
GRW_00092,SEG_0048
GRW_00093,SEG_0012
GRW_00094,SEG_0006
GRW_00095,SEG_0050
GRW_00096,SEG_0038
GRW_00097,SEG_0051
GRW_00098,SEG_0036
GRW_00099,SEG_0012
GRW_00100,SEG_0009
GRW_00101,SEG_0041
GRW_00102,SEG_0044
GRW_00103,SEG_0037
GRW_00104,SEG_0009
GRW_00105,SEG_0000
GRW_00106,SEG_0043
GRW_00107,SEG_0002
GRW_00108,SEG_0012
GRW_00109,SEG_0047
GRW_00110,SEG_0012
GRW_00111,SEG_0036
GRW_00112,SEG_0000
GRW_00113,SEG_0029
GRW_00114,SEG_0026
GRW_00115,SEG_0015
GRW_00116,SEG_0048
GRW_00117,SEG_0013
GRW_00118,SEG_0049
GRW_00119,SEG_0002
GRW_00120,SEG_0015
GRW_00121,SEG_0012
GRW_00122,SEG_0020
GRW_00123,SEG_0013
GRW_00124,SEG_0002
GRW_00125,SEG_0015
GRW_00126,SEG_0040
GRW_00127,SEG_0012
GRW_00128,SEG_0017
GRW_00129,SEG_0001
GRW_00130,SEG_0002
GRW_00131,SEG_0039
GRW_00132,SEG_0012
GRW_00133,SEG_0034
GRW_00134,SEG_0003
GRW_00135,SEG_0023
GRW_00136,SEG_0037
GRW_00137,SEG_0050
GRW_00138,SEG_0032
GRW_00139,SEG_0009
GRW_00140,SEG_0048
GRW_00141,SEG_0001
GRW_00142,SEG_0031
GRW_00143,SEG_0012
GRW_00144,SEG_0028
GRW_00145,SEG_0043
GRW_00146,SEG_0012
GRW_00147,SEG_0012
GRW_00148,SEG_0009
GRW_00149,SEG_0003
GRW_00150,SEG_0012
GRW_00151,SEG_0009
GRW_00152,SEG_0014
GRW_00153,SEG_0044
GRW_00154,SEG_0042
GRW_00155,SEG_0012
GRW_00156,SEG_0003
GRW_00157,SEG_0002
GRW_00158,SEG_0003
GRW_00159,SEG_0033
GRW_00160,SEG_0009
GRW_00161,SEG_0002
GRW_00162,SEG_0047
GRW_00163,SEG_0017
GRW_00164,SEG_0049
GRW_00165,SEG_0009
GRW_00166,SEG_0010
GRW_00167,SEG_0012
GRW_00168,SEG_0022
GRW_00169,SEG_0009
GRW_00170,SEG_0027
GRW_00171,SEG_0044
GRW_00172,SEG_0019
GRW_00173,SEG_0020
GRW_00174,SEG_0001
GRW_00175,SEG_0012
GRW_00176,SEG_0012
GRW_00177,SEG_0007
GRW_00178,SEG_0031
GRW_00179,SEG_0049
GRW_00180,SEG_0043
GRW_00181,SEG_0009
GRW_00182,SEG_0000
GRW_00183,SEG_0038
GRW_00184,SEG_0033
GRW_00185,SEG_0032
GRW_00186,SEG_0028
GRW_00187,SEG_0012
GRW_00188,SEG_0012
GRW_00189,SEG_0009
GRW_00190,SEG_0010
GRW_00191,SEG_0040
GRW_00192,SEG_0041
GRW_00193,SEG_0025
GRW_00194,SEG_0008
GRW_00195,SEG_0009
GRW_00196,SEG_0012
GRW_00197,SEG_0043
GRW_00198,SEG_0006
GRW_00199,SEG_0009
GRW_00200,SEG_0012
GRW_00201,SEG_0012
GRW_00202,SEG_0012
GRW_00203,SEG_0012
GRW_00204,SEG_0009
GRW_00205,SEG_0001
GRW_00206,SEG_0047
GRW_00207,SEG_0005
GRW_00208,SEG_0008
GRW_00209,SEG_0009
GRW_00210,SEG_0002
GRW_00211,SEG_0022
GRW_00212,SEG_0015
GRW_00213,SEG_0013
GRW_00214,SEG_0035
GRW_00215,SEG_0031
GRW_00216,SEG_0042
GRW_00217,SEG_0035
GRW_00218,SEG_0026
GRW_00219,SEG_0042
GRW_00220,SEG_0012
GRW_00221,SEG_0010
GRW_00222,SEG_0009
GRW_00223,SEG_0012
GRW_00224,SEG_0010
GRW_00225,SEG_0003
GRW_00226,SEG_0035
GRW_00227,SEG_0009
GRW_00228,SEG_0040
GRW_00229,SEG_0028
GRW_00230,SEG_0047
GRW_00231,SEG_0033
GRW_00232,SEG_0049
GRW_00233,SEG_0010
GRW_00234,SEG_0003
GRW_00235,SEG_0001
GRW_00236,SEG_0012
GRW_00237,SEG_0014
GRW_00238,SEG_0025
GRW_00239,SEG_0020
GRW_00240,SEG_0047
GRW_00241,SEG_0012
GRW_00242,SEG_0012
GRW_00243,SEG_0017
GRW_00244,SEG_0015
GRW_00245,SEG_0025
GRW_00246,SEG_0043
GRW_00247,SEG_0016
GRW_00248,SEG_0007
GRW_00249,SEG_0019
GRW_00250,SEG_0048
GRW_00251,SEG_0035
GRW_00252,SEG_0050
GRW_00253,SEG_0034
GRW_00254,SEG_0051
