tehsil,sku_name,month_year,qty,revenue,transaction_count
Agra_T002,Amistar 250 SC,2025-10,6,8928.48,1
Agra_T002,Amistar 250 SC,2025-11,15,17840.62,5
Agra_T002,Amistar 250 SC,2025-12,6,6140.0,2
Agra_T002,Amistar 250 SC,2026-01,47,63626.43,8
Agra_T002,Amistar 250 SC,2026-03,71,96235.82,5
Agra_T002,Score 250 EC,2025-11,2,4114.04,1
Agra_T002,Score 250 EC,2025-12,10,10745.68,5
Agra_T002,Score 250 EC,2026-01,157,336271.96,5
Agra_T002,Score 250 EC,2026-02,40,67605.99,4
Agra_T002,Score 250 EC,2026-03,33,52893.25,4
Agra_T002,Tilt 250 EC,2025-10,16,13697.4,5
Agra_T002,Tilt 250 EC,2025-11,43,44418.44,3
Agra_T002,Tilt 250 EC,2025-12,5,9108.300000000001,1
Agra_T002,Tilt 250 EC,2026-01,18,13663.76,5
Agra_T002,Tilt 250 EC,2026-02,19,29010.86,2
Agra_T002,Tilt 250 EC,2026-03,7,4720.66,1
Agra_T003,Actara 25 WG,2025-10,74,118815.98000000001,3
Agra_T003,Actara 25 WG,2025-11,25,28056.43,3
Agra_T003,Actara 25 WG,2025-12,81,82499.82,5
Agra_T003,Actara 25 WG,2026-01,32,15875.52,1
Agra_T003,Actara 25 WG,2026-02,10,16503.0,1
Agra_T003,Actara 25 WG,2026-03,15,16523.43,2
Agra_T003,Alto 5 SC,2025-10,22,21988.45,4
Agra_T003,Alto 5 SC,2025-11,47,51335.33,8
Agra_T003,Alto 5 SC,2025-12,154,148414.43,11
Agra_T003,Alto 5 SC,2026-01,96,128472.29000000001,9
Agra_T003,Alto 5 SC,2026-02,14,18497.5,5
Agra_T003,Alto 5 SC,2026-03,48,58888.54,11
Agra_T003,Amistar 250 SC,2025-10,27,31482.089999999997,7
Agra_T003,Amistar 250 SC,2025-11,15,24104.98,7
Agra_T003,Amistar 250 SC,2025-12,15,7705.689999999999,3
Agra_T003,Amistar 250 SC,2026-01,40,72269.59000000001,3
